benchmark,variant_dir,scale,variant_num,status,cycles,instructions,wallclock_s
md5,variant_14,0.05,0,PASS,2316462,1816571,6.474
md5,variant_15,0.07,0,PASS,2316460,1816569,5.465
md5,variant_16,0.1,0,PASS,2316460,1816569,5.859
md5,variant_17,0.15,0,PASS,2316252,1816413,5.886
md5,variant_18,0.2,0,PASS,2316252,1816413,4.586
md5,variant_19,0.3,0,PASS,2316256,1816417,4.213
md5,variant_20,0.4,0,PASS,2316256,1816417,6.383
md5,variant_21,0.5,0,PASS,2316252,1816413,4.703
md5,variant_22,0.6,0,PASS,2316252,1816413,6.775
md5,variant_23,0.7,0,PASS,2316252,1816413,5.374
md5,variant_24,0.85,0,PASS,2316252,1816413,5.627
md5,variant_25,0.9,0,PASS,2316252,1816413,6.371
md5,variant_26,1,0,PASS,2316249,1816411,4.02
mont64,variant_original,original,,PASS,5299027,4494192,15.394
mont64,variant_gp,gp,,PASS,5299027,4494192,11.058
mont64,variant_0,0,0,PASS,43190938,33754011,89.627
mont64,variant_1,0.0001,0,PASS,54684100,43563967,114.971
mont64,variant_2,0.0002,0,PASS,10500316,9385303,27.416
mont64,variant_3,0.0005,0,PASS,8383210,7371429,22.641
mont64,variant_4,0.001,0,PASS,6507534,5536415,15.917
mont64,variant_5,0.0015,0,PASS,6507534,5536415,16.573
mont64,variant_6,0.002,0,PASS,6507534,5536415,16.992
mont64,variant_7,0.003,0,PASS,6507534,5536415,17.525
mont64,variant_8,0.005,0,PASS,6480398,5509279,16.098
mont64,variant_9,0.007,0,PASS,6480398,5509279,15.664
mont64,variant_10,0.01,0,PASS,6480398,5509279,16.544
mont64,variant_11,0.015,0,PASS,5300296,4495461,13.241
mont64,variant_12,0.02,0,PASS,5300296,4495461,13.143
mont64,variant_13,0.03,0,PASS,5300296,4495461,12.904
mont64,variant_14,0.05,0,PASS,5299027,4494192,10.295
mont64,variant_15,0.07,0,PASS,5299027,4494192,13.944
mont64,variant_16,0.1,0,PASS,5299027,4494192,12.801
mont64,variant_17,0.15,0,PASS,5299027,4494192,13.112
mont64,variant_18,0.2,0,PASS,5299027,4494192,11.403
mont64,variant_19,0.3,0,PASS,5299027,4494192,13.522
mont64,variant_20,0.4,0,PASS,5299027,4494192,10.088
mont64,variant_21,0.5,0,PASS,5299027,4494192,10.05
mont64,variant_22,0.6,0,PASS,5299027,4494192,12.922
mont64,variant_23,0.7,0,PASS,5299027,4494192,10.161
mont64,variant_24,0.85,0,PASS,5299027,4494192,12.77
mont64,variant_25,0.9,0,PASS,5299027,4494192,10.751
mont64,variant_26,1,0,PASS,5299027,4494192,10.243
patricia_O3,variant_original,original,,PASS,6891978,4226094,14.087
patricia_O3,variant_gp,gp,,PASS,6891978,4226094,16.418
patricia_O3,variant_0,0,0,PASS,8543211,5279313,15.84
patricia_O3,variant_1,0.0001,0,PASS,8468131,5227598,13.476
patricia_O3,variant_2,0.0002,0,PASS,7952095,5118649,20.019
patricia_O3,variant_3,0.0005,0,PASS,7597083,4775352,16.748
patricia_O3,variant_4,0.001,0,PASS,7030707,4361463,14.746
patricia_O3,variant_5,0.0015,0,PASS,6919132,4249888,17.114
patricia_O3,variant_6,0.002,0,PASS,6919132,4249888,15.386
patricia_O3,variant_7,0.003,0,PASS,6919132,4249888,11.05
patricia_O3,variant_8,0.005,0,PASS,6896452,4227208,10.952
patricia_O3,variant_9,0.007,0,PASS,6896452,4227208,14.384
patricia_O3,variant_10,0.01,0,PASS,6896452,4227208,15.265
patricia_O3,variant_11,0.015,0,PASS,6896452,4227208,10.919
